	1	2	3	4	5	6	7	8	9
1	1.206581667	2.887976667	4.872857333	3.345475	8.35918	4.5643	6.652908333	10.18440417	9.4549375
2	2.715581667	3.197676667	5.565863333	2.872675	7.30168	5.75826	7.500908333	11.45050417	11.5515375
3	3.119981667	3.320376667	5.467663333	3.940275	5.10828	3.59476	6.925908333	7.410804167	8.3689375
4	2.293581667	3.842376667	6.576263333	3.516575	6.01628	5.70826	8.477508333	10.26610417	9.1659375
5	2.868681667	2.992876667	5.304963333	3.875045	5.70128	3.59476	7.230908333	8.445804167	8.8629375
6	2.526881667	2.097776667	4.668763333	3.728445	6.64918	5.03166	8.372608333	8.704804167	9.6469375
7	2.832281667	2.097776667	5.467663333	3.711635	6.53058	6.36626	7.653908333	8.776804167	9.5929375
8	3.093281667	2.610876667	4.041263333	2.448675	6.29328	6.43226	8.292608333	9.903304167	10.4651375
9	2.805681667	2.154276667	4.416563333	2.432675	6.25428	4.77156	6.778908333	9.278804167	9.8829375
10	2.463881667	2.382876667	3.780263333	2.106675	5.89828	4.51068	7.136908333	8.812804167	8.4669375
11	1.960581667	2.578576667	4.497963333	3.035775	6.05628	4.60826	7.307908333	10.12590417	10.5034375
12	2.374581667	2.904776667	4.236963333	3.508575	6.84708	5.16176	7.854808333	9.881104167	8.9449375
13	3.237081667	3.263176667	3.894663333	2.905275	6.88638	4.86906	6.846908333	8.975804167	9.6619375
14	3.506171667	3.197976667	4.758863333	3.328975	7.04508	5.91126	8.332908333	10.01490417	10.4207375
15	1.754581667	2.179176667	5.647263333	4.331675	7.5986	5.70826	7.736408333	9.041804167	12.7369375
16	2.059581667	3.189876667	5.809963333	4.298675	7.27838	5.26296	7.792908333	10.99710417	12.2539375
17	2.203581667	2.733286667	6.104263333	5.048675	8.07308	6.97726	7.875008333	11.24790417	13.0519375
18	3.353461667	2.863746667	5.206763333	4.152075	8.34958	5.47026	8.291908333	11.21230417	12.0909375
19	1.987581667	2.537576667	5.223563333	4.201175	6.33328	5.95526	8.658438333	10.71130417	11.9160375
20	3.174081667	4.135376667	5.565863333	4.021675	9.37728	5.53926	9.090208333	11.00850417	11.1305875
21	3.137781667	4.347376667	5.337263333	4.152075	7.51928	5.05536	8.008108333	11.28420417	9.8049375
22	2.724881667	4.543376667	5.288763333	3.842095	8.31028	4.5413	9.120408333	10.00650417	10.6309375
23	2.904281667	4.608376667	6.136263333	3.647075	7.87508	6.12826	8.534708333	10.71130417	9.8239375
24	3.137781667	4.461376667	5.304963333	4.266475	7.51928	6.23826	8.223308333	10.45907917	9.5459375
25	2.509081667	2.554376667	5.109263333	3.353175	8.58628	6.26626	9.371308333	9.598304167	9.5089375
26	3.137781667	2.651876667	5.484463333	3.418375	6.92628	5.87026	7.932808333	11.15650417	8.7289375
27	1.951581667	2.358676667	4.163663333	2.929475	8.62628	4.43059	9.041108333	11.78580417	9.5169375
28	1.861581667	3.027176667	5.174463333	3.043875	7.32138	3.24926	8.708208333	10.67430417	9.9669375
29	2.005581667	4.608376667	4.962633333	4.201175	8.50748	5.61126	8.761328333	10.85990417	9.6569375
30	2.077581667	5.130376667	4.994963333	3.630275	7.35698	4.69626	8.330908333	11.49080417	10.3249375
31	2.868681667	4.885376667	4.864453333	3.337075	7.95438	5.72126	8.361208333	11.21230417	10.7459375
32	2.472781667	4.233376667	3.691263333	3.548875	6.84688	5.02076	8.152008333	10.78190417	11.2153375
33	2.940581667	3.776976667	4.620363333	3.434575	8.94228	6.09126	8.402908333	10.04950417	11.9759375
34	1.879581667	3.059476667	3.853263333	3.532775	6.64978	4.36696	7.792908333	11.05830417	11.1191475
35	2.239581667	2.992876667	4.816033333	3.695495	4.71228	4.93706	7.519908333	10.48194417	10.2025375
36	2.724881667	3.010376667	4.881263333	4.005475	5.34528	5.77526	7.742508333	10.45168417	9.6699375
37	1.951581667	3.255176667	4.962633333	4.331675	5.66128	5.77526	7.556908333	9.867304167	9.3629375
38	2.760381667	3.108576667	4.473063333	4.380075	6.84688	5.33976	7.482908333	9.635304167	8.3689375
39	2.400581667	2.668076667	5.304963333	4.624875	6.17528	7.04026	7.630908333	9.932504167	9.4849375
40	2.446081667	2.984176667	4.220863333	3.426475	7.00498	4.86906	7.296908333	8.975804167	9.5929375
41	2.679581667	3.735976667	4.335163333	3.035775	6.80778	5.38526	7.153908333	9.419804167	9.0449375
42	2.410481667	2.920876667	3.666263333	3.263775	5.54228	5.25106	7.242908333	7.536804167	9.7339375
43	3.632181667	2.806586667	4.253163333	3.752655	7.83528	5.71526	7.076908333	9.073804167	10.7664375
44	2.482081667	2.023776667	5.280363333	4.030075	8.24058	4.92136	8.036008333	11.46210417	10.2509375
45	2.446481667	2.839536667	5.737063333	3.866645	8.12198	5.88126	7.663908333	11.67780417	9.5289375
46	1.960581667	2.725216667	5.720163333	3.263375	8.08268	4.49719	6.728908333	9.981304167	8.3039375
47	1.583581667	2.871816667	5.492263333	3.003175	7.88478	4.25506	6.587908333	11.79380417	7.9829375
48	2.069581667	2.284776667	5.199063333	2.660675	5.47328	5.63926	6.809908333	11.67780417	9.4819375
49	2.625881667	3.409776667	5.720163333	2.921075	7.96408	5.96426	7.849108333	10.95300417	10.7876375
50	1.476581667	2.448176667	5.834563333	2.595675	6.73868	6.33426	8.036008333	10.56365417	9.9049375
51	2.176581667	2.431376667	5.100863333	2.138675	6.97588	5.36066	6.884908333	10.71770417	9.4439375
52	1.817581667	1.926276667	5.834563333	2.904975	6.54078	5.39456	7.566908333	10.21800417	11.0196175
53	2.805981667	3.360776667	5.296563333	3.980975	6.89658	5.79726	6.526908333	10.83260417	10.3276375
54	1.242581667	2.725216667	5.100863333	3.589575	6.58008	5.18906	6.490908333	11.65580417	9.1579375
55	2.248581667	3.328476667	5.051763333	3.622475	6.46128	5.33566	6.915908333	10.19260417	7.9809375
56	2.140581667	2.545676667	5.687963333	3.980975	6.06628	5.06716	7.174908333	9.681504167	7.6479375
57	2.464281667	2.219476667	6.764263333	3.720035	6.89638	4.12756	7.769108333	10.41183417	8.4939375
58	2.500581667	3.083676667	5.671763333	3.785269	6.77778	5.10036	6.989908333	10.33450417	9.3169375
59	2.634781667	3.344576667	5.345263333	3.287975	5.51228	4.89906	7.248908333	8.374804167	8.6479375
